iter	Passed	Remaining
699	2170	930
700	2173	926
701	2176	923
702	2179	920
703	2181	917
704	2184	914
705	2188	911
706	2191	908
707	2193	904
708	2195	901
709	2198	897
710	2201	894
711	2204	891
712	2207	888
713	2210	885
714	2213	882
715	2215	878
716	2218	875
717	2220	872
718	2224	869
719	2226	866
720	2229	862
721	2231	859
722	2233	855
723	2236	852
724	2241	850
725	2244	846
726	2246	843
727	2250	840
728	2256	838
729	2260	836
730	2265	833
731	2268	830
732	2273	828
733	2277	825
734	2280	822
735	2283	819
736	2286	816
737	2291	813
738	2293	810
739	2296	806
740	2298	803
741	2303	800
742	2306	797
743	2309	794
744	2311	791
745	2315	788
746	2318	785
747	2321	782
748	2324	778
749	2327	775
750	2330	772
751	2333	769
752	2336	766
753	2341	763
754	2344	760
755	2347	757
756	2350	754
757	2353	751
758	2356	748
759	2358	744
760	2361	741
761	2363	738
762	2366	735
763	2369	731
764	2371	728
765	2373	725
766	2376	721
767	2380	719
768	2383	715
769	2385	712
770	2388	709
771	2391	706
772	2393	702
773	2396	699
774	2399	696
775	2404	694
776	2407	690
777	2410	687
778	2416	685
779	2419	682
780	2422	679
781	2425	676
782	2429	673
783	2433	670
784	2436	667
785	2439	664
786	2443	661
787	2446	658
788	2449	655
789	2452	651
790	2455	648
791	2459	645
792	2461	642
793	2464	639
794	2467	636
795	2470	633
796	2472	629
797	2475	626
798	2477	623
799	2480	620
800	2483	616
801	2485	613
802	2488	610
803	2491	607
804	2494	604
805	2497	601
806	2500	597
807	2503	594
808	2506	591
809	2509	588
810	2512	585
811	2514	582
812	2518	579
813	2520	575
814	2522	572
815	2525	569
816	2528	566
817	2531	563
818	2534	560
819	2538	557
820	2541	554
821	2545	551
822	2547	547
823	2550	544
824	2553	541
825	2556	538
826	2559	535
827	2561	532
828	2563	528
829	2566	525
830	2569	522
831	2572	519
832	2575	516
833	2577	513
834	2580	509
835	2583	506
836	2585	503
837	2588	500
838	2590	497
839	2594	494
840	2596	490
841	2599	487
842	2601	484
843	2604	481
844	2608	478
845	2611	475
846	2613	472
847	2616	468
848	2619	465
849	2622	462
850	2624	459
851	2627	456
852	2629	453
853	2634	450
854	2637	447
855	2640	444
856	2644	441
857	2647	438
858	2649	434
859	2653	431
860	2655	428
861	2659	425
862	2661	422
863	2663	419
864	2667	416
865	2670	413
866	2673	410
867	2676	407
868	2679	403
869	2683	400
870	2686	397
871	2689	394
872	2692	391
873	2696	388
874	2699	385
875	2702	382
876	2704	379
877	2707	376
878	2710	373
879	2712	369
880	2715	366
881	2718	363
882	2721	360
883	2724	357
884	2727	354
885	2729	351
886	2733	348
887	2735	345
888	2737	341
889	2740	338
890	2742	335
891	2745	332
892	2748	329
893	2751	326
894	2754	323
895	2758	320
896	2762	317
897	2764	314
898	2766	310
899	2769	307
900	2772	304
901	2774	301
902	2777	298
903	2780	295
904	2783	292
905	2785	289
906	2788	285
907	2790	282
908	2793	279
909	2796	276
910	2799	273
911	2801	270
912	2805	267
913	2808	264
914	2812	261
915	2814	258
916	2817	255
917	2820	251
918	2824	248
919	2827	245
920	2830	242
921	2834	239
922	2838	236
923	2841	233
924	2843	230
925	2847	227
926	2850	224
927	2852	221
928	2855	218
929	2858	215
930	2861	212
931	2864	209
932	2867	205
933	2869	202
934	2873	199
935	2875	196
936	2878	193
937	2880	190
938	2882	187
939	2886	184
940	2889	181
941	2891	178
942	2894	174
943	2897	171
944	2900	168
945	2903	165
946	2906	162
947	2909	159
948	2911	156
949	2914	153
950	2916	150
951	2920	147
952	2923	144
953	2926	141
954	2928	137
955	2930	134
956	2933	131
957	2937	128
958	2939	125
959	2942	122
960	2944	119
961	2947	116
962	2951	113
963	2953	110
964	2956	107
965	2959	104
966	2962	101
967	2964	98
968	2967	94
969	2970	91
970	2974	88
971	2977	85
972	2980	82
973	2984	79
974	2988	76
975	2991	73
976	2994	70
977	2998	67
978	3001	64
979	3004	61
980	3007	58
981	3011	55
982	3014	52
983	3027	49
984	3030	46
985	3032	43
986	3035	39
987	3038	36
988	3040	33
989	3043	30
990	3046	27
991	3050	24
992	3053	21
993	3055	18
994	3057	15
995	3059	12
996	3063	9
997	3065	6
998	3067	3
999	3070	0
